match_id,division,match_date,section,team,player,goals,goal_minutes,source_url,note
2025_D1_m36,1部,2025-09-07,第9節,INAC白岡SCレディース,小倉那月,1,31分,https://u15.kantolsl.com/2025/div1/m36,
2025_D1_m36,1部,2025-09-07,第9節,INAC白岡SCレディース,佐野希空,1,75分,https://u15.kantolsl.com/2025/div1/m36,
2025_D1_m37,1部,2025-09-14,第10節,ジェフユナイテッド市原・千葉レディースU-15,岡﨑かえで,1,33分,https://u15.kantolsl.com/2025/div1/m37,
2025_D1_m37,1部,2025-09-14,第10節,ジェフユナイテッド市原・千葉レディースU-15,鈴木沙弥,1,71分,https://u15.kantolsl.com/2025/div1/m37,
2025_D1_m38,1部,2025-09-14,第10節,ノジマステラ神奈川相模原アヴェニーレ,藺牟田芽依,1,46分,https://u15.kantolsl.com/2025/div1/m38,
2025_D1_m38,1部,2025-09-14,第10節,三菱重工浦和レッズレディースジュニアユース,薬袋胡乃花,1,7分,https://u15.kantolsl.com/2025/div1/m38,
2025_D1_m38,1部,2025-09-14,第10節,三菱重工浦和レッズレディースジュニアユース,片岡菜葉,1,56分,https://u15.kantolsl.com/2025/div1/m38,
2025_D1_m39,1部,2025-09-15,第10節,横須賀シーガルズMEG,柴田結月,2,38分|58分,https://u15.kantolsl.com/2025/div1/m39,
2025_D1_m39,1部,2025-09-15,第10節,横須賀シーガルズMEG,斎藤希子,1,80+3分,https://u15.kantolsl.com/2025/div1/m39,
2025_D1_m39,1部,2025-09-15,第10節,横須賀シーガルズMEG,長谷川紗良,1,80+4分,https://u15.kantolsl.com/2025/div1/m39,
2025_D1_m40,1部,2025-09-15,第10節,VONDS市原FCレディ－スU-15,田中葉色,1,3分,https://u15.kantolsl.com/2025/div1/m40,
2025_D1_m40,1部,2025-09-15,第10節,VONDS市原FCレディ－スU-15,北島利夏,1,55分,https://u15.kantolsl.com/2025/div1/m40,
2025_D1_m40,1部,2025-09-15,第10節,VONDS市原FCレディ－スU-15,長田陽菜,1,70分,https://u15.kantolsl.com/2025/div1/m40,
2025_D1_m40,1部,2025-09-15,第10節,INAC白岡SCレディース,清水若葉,2,30分|43分,https://u15.kantolsl.com/2025/div1/m40,
