year,division,match_id,url_key,source_url,match_date,kickoff,section,home_team,away_team,home_score,away_score,venue,status,fetched_at,source_type,discovered_from,note
2025,1部,2025_D1_m48,m48,https://u15.kantolsl.com/2025/div1/m48,2025-10-04,17:00,第12節,VONDS市原FCレディ－スU-15,小美玉フットボールアカデミ,0,1,VONDSグリーンパーク,played,2026-05-18T09:17:36+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m49,m49,https://u15.kantolsl.com/2025/div1/m49,2025-10-13,14:00,第13節,ジェフユナイテッド市原・千葉レディースU-15,ちふれASエルフェン埼玉マリU-15,4,0,フクダ電子フィールド,played,2026-05-18T09:17:36+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m50,m50,https://u15.kantolsl.com/2025/div1/m50,2025-10-11,16:00,第13節,三菱重工浦和レッズレディースジュニアユース,INAC白岡SCレディース,4,0,レッズランド,played,2026-05-18T09:17:37+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m51,m51,https://u15.kantolsl.com/2025/div1/m51,2025-10-11,14:00,第13節,ノジマステラ神奈川相模原アヴェニーレ,VONDS市原FCレディ－スU-15,0,4,ノジマフットボールパーク,played,2026-05-18T09:17:37+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m52,m52,https://u15.kantolsl.com/2025/div1/m52,2025-10-11,11:10,第13節,横須賀シーガルズMEG,小美玉フットボールアカデミ,2,0,東戸塚フットボールパーク,played,2026-05-18T09:17:38+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m53,m53,https://u15.kantolsl.com/2025/div1/m53,2025-11-16,12:00,第14節,三菱重工浦和レッズレディースジュニアユース,ジェフユナイテッド市原・千葉レディースU-15,1,0,レッズランド,played,2026-05-18T09:17:38+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m54,m54,https://u15.kantolsl.com/2025/div1/m54,2025-11-15,10:00,第14節,白岡総合運動公園 INAC白岡SCレディース,ちふれASエルフェン埼玉マリU-15,1,0,Match Summary,played,2026-05-18T09:17:39+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m55,m55,https://u15.kantolsl.com/2025/div1/m55,2025-11-15,12:30,第14節,つくばFC万博グラウンド 小美玉フットボールアカデミ,ノジマステラ神奈川相模原アヴェニーレ,4,1,Match Summary,played,2026-05-18T09:17:40+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,1部,2025_D1_m56,m56,https://u15.kantolsl.com/2025/div1/m56,2025-11-15,16:30,第14節,VONDS市原FCレディ－スU-15,横須賀シーガルズMEG,0,1,VONDSグリーンパーク,played,2026-05-18T09:17:40+09:00,primary_match_page,https://u15.kantolsl.com/2025/div1/,
2025,2部,2025_D2_m01,m01,https://u15.kantolsl.com/2025/div2/m01,2025-04-06,13:00,第1節,INAC千葉CRAVO FC,RB大宮アルディージャWOMEN U15,1,1,あけぼの山農業公園 芝生広場,played,2026-05-18T09:17:41+09:00,primary_match_page,https://u15.kantolsl.com/2025/div2/,
